program_type;additional_param;average_position;max_position;min_position;mode_position
OpenMP;dynamic,10k;2,54;13;1;1
OpenMP;static,10k;3,23;17;1;2
OpenMP;dynamic,200k;5,13;15;1;3
OpenMP;static,200k;6,31;18;2;4
OpenMP;auto,10k;6,42;11;1;8
OpenMP;static,0;7,12;14;1;7
OpenMP;auto,0;7,15;16;1;5
OpenMP;auto,200k;7,25;14;3;7
MPI;10k;9,12;15;1;9
MPI;50k;10,23;16;1;10
OpenMP;dynamic,50k;11,33;15;1;13
OpenMP;auto,50k;11,50;14;3;12
OpenMP;guided,50k;12,75;16;1;14
OpenMP;dynamic,0;12,77;19;11;11
OpenMP;static,50k;12,98;15;3;15
Thread;default,10k;14,79;19;1;18
Pthreads;default,10k;16,10;19;5;16
Thread;default,50k;16,73;21;2;19
Pthreads;default,50k;17,02;19;6;17
Pthreads;default,500k;17,75;20;17;17
Thread;default,500k;20,25;21;20;20
